ID	Project	Region_People	Time	Group
S1605B04-2	CMP_Region	Beijing	2016	China
S1605B05-1	CMP_Region	Beijing	2016	China
S1605B07-2	CMP_Region	Beijing	2016	China
S1605C03-1	CMP_Region	Beijing	2016	China
S-1605C04-1	CMP_Region	Beijing	2016	China
S-1605C10	CMP_Region	Beijing	2016	China
S-1605C11-2	CMP_Region	Beijing	2016	China
S-1605F02-1	CMP_Region	Beijing	2016	China
S1605F03-2	CMP_Region	Beijing	2016	China
S1605G02-1	CMP_Region	Beijing	2016	China
S1605G03-2	CMP_Region	Beijing	2016	China
S-1605G09	CMP_Region	Beijing	2016	China
S1605G11	CMP_Region	Beijing	2016	China
S-1605I05-1	CMP_Region	Beijing	2016	China
S1605I06-1	CMP_Region	Beijing	2016	China
S-1605I09-1	CMP_Region	Beijing	2016	China
S1605I10-2	CMP_Region	Beijing	2016	China
S1605K02-1	CMP_Region	Beijing	2016	China
S-1605P04-1	CMP_Region	Beijing	2016	China
S1606C28	CMP_Region	Sichuan	2016	China
S1606H01-2	CMP_Region	Sichuan	2016	China
S1606H02-1	CMP_Region	Sichuan	2016	China
S1606H05-1	CMP_Region	Sichuan	2016	China
S1606H08-2	CMP_Region	Sichuan	2016	China
S1606H09-1	CMP_Region	Sichuan	2016	China
S1606H10-2	CMP_Region	Sichuan	2016	China
S1606H15-2	CMP_Region	Sichuan	2016	China
S1606H19-1	CMP_Region	Sichuan	2016	China
S1606H22-1	CMP_Region	Sichuan	2016	China
S1606H29	CMP_Region	Sichuan	2016	China
S1606H32	CMP_Region	Sichuan	2016	China
S1606H35	CMP_Region	Sichuan	2016	China
S1606H40	CMP_Region	Sichuan	2016	China
S1606H42	CMP_Region	Sichuan	2016	China
S1606H47	CMP_Region	Sichuan	2016	China
S1710A01	CMP_Region	Beijing	2017	China
S1710A02	CMP_Region	Beijing	2017	China
S1710A03	CMP_Region	Beijing	2017	China
S1710A05	CMP_Region	Beijing	2017	China
S1710A06	CMP_Region	Beijing	2017	China
S1710A07	CMP_Region	Beijing	2017	China
S1710A08	CMP_Region	Beijing	2017	China
S1710B02	CMP_Region	Beijing	2017	China
S1710B05	CMP_Region	Beijing	2017	China
S1710B08	CMP_Region	Beijing	2017	China
S1710C01	CMP_Region	Beijing	2017	China
S1710C02	CMP_Region	Beijing	2017	China
